Time,Open,High,Low,Last,Change,Volume
10/22/2009,25.56,26.155,25.405,26.085,0.51,14929400
10/21/2009,25.955,25.98,25.53,25.575,-0.355,14081800
10/20/2009,25.99,26.155,25.865,25.93,-0.185,15559400
10/19/2009,25.73,26.18,25.7,26.115,0.4,17200600
10/16/2009,25.81,25.94,25.665,25.715,-0.24,17379000
10/15/2009,25.71,26.08,25.6,25.955,0.355,20143400
10/14/2009,25.36,25.745,25.12,25.6,0.775,26644400
10/13/2009,24.885,24.98,24.66,24.825,-0.175,16276400
10/12/2009,25.215,25.215,24.91,25,-0.04,14593600
10/9/2009,25.025,25.225,24.955,25.04,-0.015,10921200
10/8/2009,25.165,25.375,24.93,25.055,0.035,11815800
10/7/2009,25.045,26.05,24.965,25.02,-0.07,11428800
10/6/2009,25.25,25.355,24.925,25.09,-0.075,17676000
10/5/2009,24.965,25.215,24.81,25.165,0.245,22667400
10/2/2009,24.205,25,24.205,24.92,0.58,25635000
10/1/2009,24.73,24.875,24.31,24.34,-0.395,21440800
9/30/2009,24.575,24.765,24.34,24.735,0.185,20953800
9/29/2009,24.49,24.79,24.4,24.55,0.26,23745800
9/28/2009,24.575,24.845,24.245,24.29,0.625,37067600
9/25/2009,23.38,23.89,23.38,23.665,0.195,22874400
9/24/2009,23.145,23.51,23.005,23.47,0.405,23678600
9/23/2009,23.435,23.435,23.045,23.065,-0.3,12348600
9/22/2009,23.335,23.465,23.2,23.365,0.105,16410200
9/21/2009,22.905,23.325,22.9,23.26,0.275,14261000
9/18/2009,23.235,23.235,22.9,22.985,-0.195,30018400
9/17/2009,23.37,23.5,23.18,23.18,-0.18,13928600
9/16/2009,23.64,23.64,23.15,23.36,-0.185,15267400
9/15/2009,23.67,23.75,23.475,23.545,-0.12,14393200
9/14/2009,23.41,23.73,23.355,23.665,0.25,20476800
9/11/2009,23.445,23.49,23.28,23.415,-0.02,16008200
9/10/2009,23.185,23.435,22.905,23.435,0.255,19828600
9/9/2009,22.995,23.31,22.93,23.18,0.225,16821400
9/8/2009,22.835,22.955,22.625,22.955,0.14,14461400
9/4/2009,22.575,22.835,22.445,22.815,0.285,10237200
9/3/2009,22.615,22.615,22.375,22.53,0.03,11045800
9/2/2009,22.55,22.695,22.36,22.5,-0.06,13551000
9/1/2009,22.54,22.87,22.42,22.56,-0.055,15032200
8/31/2009,22.885,23.135,22.51,22.615,-0.345,19701000
8/28/2009,23.32,23.325,22.845,22.96,-0.345,12565600
8/27/2009,23.085,23.33,22.955,23.305,0.27,15606000
8/26/2009,22.91,23.195,22.875,23.035,0.075,13197600
8/25/2009,23.01,23.155,22.95,22.96,-0.08,13856200
8/24/2009,22.865,23.065,22.625,23.04,0.345,18439200
8/21/2009,22.79,23,22.66,22.695,0.055,16939800
8/20/2009,22.595,22.715,22.415,22.64,0.055,10212800
8/19/2009,22.07,22.645,22.05,22.585,0.42,18253400
8/18/2009,22.4,22.405,22.065,22.165,-0.215,14340000
8/17/2009,22,22.475,21.95,22.38,0.2,18307200
8/14/2009,22.25,22.355,21.965,22.18,0.02,13887000
8/13/2009,22.01,22.19,21.83,22.16,0.155,16373400
8/12/2009,22.215,22.275,21.875,22.005,-0.345,24824600
8/11/2009,22.26,22.44,22.215,22.35,0.09,13021000
8/10/2009,21.85,22.28,21.755,22.26,0.34,16137800
8/7/2009,21.98,22.015,21.86,21.92,0.105,14138000
8/6/2009,22.085,22.09,21.745,21.815,-0.185,19584800
8/5/2009,22.175,22.175,21.985,22,-0.15,15753000
8/4/2009,22.33,22.395,22.115,22.15,-0.26,20995600
8/3/2009,22.54,22.56,22.1,22.41,-0.085,20174200
7/31/2009,22.87,23.005,22.46,22.495,-0.355,19281400
7/30/2009,22.99,23.145,22.725,22.85,0.005,19251800
7/29/2009,22.69,22.935,22.56,22.845,0.13,12533000
7/28/2009,22.48,22.8,22.45,22.715,0.2,14680400
7/27/2009,22.565,22.69,22.245,22.515,0.01,12613600
7/24/2009,21.97,22.545,21.9,22.505,0.585,18260000
7/23/2009,22.205,22.225,21.725,21.92,-0.19,33659400
7/22/2009,22.505,22.625,22.005,22.11,-0.39,20173800
7/21/2009,22.6,22.695,22.255,22.5,-0.005,16328200
7/20/2009,22.305,22.515,22.15,22.505,0.27,16929400
7/17/2009,22.26,22.4,22.1,22.235,-0.235,24705600
7/16/2009,22.565,22.605,22.29,22.47,-0.17,25546000
7/15/2009,22.85,22.9,22.115,22.64,-0.605,51862400
7/14/2009,23.235,23.41,22.985,23.245,0.17,15926400
7/13/2009,22.59,23.125,22.5,23.075,0.37,14823000
7/10/2009,22.9,22.9,22.635,22.705,-0.26,12857400
7/9/2009,23.205,23.295,22.72,22.965,-0.19,14804800
7/8/2009,22.75,23.245,22.75,23.155,0.485,18673600
7/7/2009,22.71,23.045,22.61,22.67,-0.33,17029000
7/6/2009,22.815,23.165,22.815,23,-0.14,15855800
7/2/2009,23.15,23.32,22.875,23.14,-0.18,15104200
7/1/2009,23.5,23.545,23.265,23.32,-0.2,17036800
6/30/2009,23.615,23.825,23.13,23.52,-0.39,28271800
6/29/2009,23.795,23.92,23.325,23.91,0.195,13476000
6/26/2009,23.94,24.065,23.645,23.715,-0.295,16383400
6/25/2009,23.385,24.185,23.31,24.01,0.515,15518800
6/24/2009,23.6,23.615,23.285,23.495,0.065,11960200
6/23/2009,23.45,23.6,23.15,23.43,0.075,12932800
6/22/2009,23.59,23.68,23.29,23.355,-0.435,18272400
6/19/2009,23.92,24.13,23.63,23.79,-0.04,29012400
6/18/2009,23.035,23.96,23.035,23.83,0.87,30202400
6/17/2009,22.385,23.11,22.375,22.96,0.595,17579800
6/16/2009,22.35,22.61,22.11,22.365,0,15642000
6/15/2009,22.825,22.825,22.29,22.365,-0.345,18401200
6/12/2009,22.235,23,22.235,22.71,0.43,20568800
6/11/2009,22.105,22.545,22.095,22.28,0.205,18419800
6/10/2009,22.3,22.35,21.95,22.075,-0.1,20025600
6/9/2009,22.46,22.475,22.175,22.175,-0.19,9586000
6/8/2009,22.32,22.53,22.135,22.365,-0.125,12003600
6/5/2009,22.455,22.63,22.175,22.49,0.115,14227800
6/4/2009,22.59,22.65,22.175,22.375,-0.185,16024200
6/3/2009,22.49,22.73,22.34,22.56,-0.015,16025000
6/2/2009,22.41,22.765,22.38,22.575,0.085,10942400
6/1/2009,22.65,22.71,22.33,22.49,-0.04,13744800
5/29/2009,22.345,22.56,22.035,22.53,0.23,14576400
