evaluation instances,total train time,total train speed,last train time,last train speed,test time,test speed,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
410000.0,1.75,234285.7142857143,0.03125,320000.0,0.015625,64000.0,1000.0,90.3,80.56735315329755,79.87551867219918,79.22912205567452,410000.0,702832.0,271.0,136.0,136.0,9.0,0.0,0.0,1.0
420000.0,1.796875,233739.13043478262,0.046875,213333.33333333334,0.0,Infinity,1000.0,89.5,78.99697556448129,78.95791583166333,78.17047817047818,420000.0,719480.0,277.0,139.0,139.0,10.0,0.0,0.0,1.0
430000.0,1.84375,233220.33898305084,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.10000000000001,82.20028479544328,82.41106719367589,81.38075313807532,430000.0,734688.0,283.0,142.0,142.0,10.0,0.0,0.0,1.0
440000.0,1.890625,232727.27272727274,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.4,80.79193261169692,80.80000000000001,79.70401691331924,440000.0,749976.0,289.0,145.0,145.0,10.0,0.0,0.0,1.0
450000.0,1.9375,232258.06451612903,0.046875,213333.33333333334,0.0,Infinity,1000.0,89.4,78.8,79.13385826771653,78.41140529531569,450000.0,775296.0,299.0,150.0,150.0,10.0,0.0,0.0,1.0
460000.0,1.96875,233650.79365079364,0.03125,320000.0,0.015625,64000.0,1000.0,91.3,82.59624078801022,82.66932270916335,81.72268907563026,460000.0,786704.0,305.0,153.0,153.0,10.0,0.0,0.0,1.0
470000.0,2.0,235000.0,0.03125,320000.0,0.0,Infinity,1000.0,90.5,80.98174247277386,81.15079365079364,80.1255230125523,470000.0,802296.0,309.0,155.0,155.0,10.0,0.0,0.0,1.0
480000.0,2.046875,234503.81679389314,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.4,80.79754208538694,80.990099009901,79.1304347826087,480000.0,828112.0,321.0,161.0,161.0,10.0,0.0,0.0,1.0
490000.0,2.078125,235789.47368421053,0.03125,320000.0,0.0,Infinity,1000.0,90.4,80.80053758494763,80.52738336713996,80.04158004158005,490000.0,838528.0,323.0,162.0,162.0,10.0,0.0,0.0,1.0
500000.0,2.125,235294.11764705883,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.3,80.5998447987584,80.63872255489024,79.70711297071131,500000.0,843704.0,325.0,163.0,163.0,10.0,0.0,0.0,1.0
510000.0,2.15625,236521.73913043478,0.03125,320000.0,0.0,Infinity,1000.0,88.3,76.54934658863145,75.97535934291582,75.05330490405117,510000.0,858352.0,331.0,166.0,166.0,10.0,0.0,0.0,1.0
520000.0,2.1875,237714.2857142857,0.03125,320000.0,0.0,Infinity,1000.0,90.2,80.3908229051196,81.40417457305503,79.0149892933619,520000.0,883992.0,341.0,171.0,171.0,10.0,0.0,0.0,1.0
530000.0,2.234375,237202.7972027972,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.0,81.98414604852272,82.6923076923077,81.55737704918033,530000.0,895464.0,345.0,173.0,173.0,10.0,0.0,0.0,1.0
540000.0,2.28125,236712.32876712328,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.2,76.37420062708478,77.52380952380953,74.51403887688984,540000.0,935992.0,361.0,181.0,181.0,10.0,0.0,0.0,1.0
550000.0,2.328125,236241.61073825503,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.8,81.58408865259585,81.22448979591837,80.67226890756302,550000.0,961232.0,371.0,186.0,186.0,10.0,0.0,0.0,1.0
560000.0,2.375,235789.47368421053,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.4,80.76121460865104,81.2133072407045,79.9163179916318,560000.0,982256.0,379.0,190.0,190.0,10.0,0.0,0.0,1.0
