Date,Transaction,Debit/credit,Running balance,Closing Price,At Sale Price,At Sale Cumulative,Add Closing,Cost Basis,
11/18/2004,DIVIDEND,0.139,23.877,20.808926,,,,,
10/6/2004,PURCHASE,1.175,23.738,20.247561,,,,,
8/19/2004,PURCHASE,0.623,22.563,19.532658,,,,,
8/19/2004,DIVIDEND,0.141,21.94,19.532658,,,,,
7/7/2004,PURCHASE,1.216,21.799,18.990484,,,,,
5/20/2004,PURCHASE,0.607,20.583,19.316748,,,,,
5/20/2004,DIVIDEND,0.125,19.976,19.316748,,,,,
4/6/2004,PURCHASE,1.191,19.851,19.388029,,,,,
2/20/2004,PURCHASE,0.556,18.66,19.47332,,,,,
2/20/2004,DIVIDEND,0.098,18.104,19.47332,,,,,
1/7/2004,PURCHASE,1.071,18.006,21.053452,,,,,
12/31/2003,BALANCE FORWARD,16.935,16.935,20.918781,,,,,
